"http://www.appannie.com/apps/ios/top/japan/education/?device=iphone"
#,free_title,free_publisher,paid_title,paid_publisher,sales_title,sales_publisher
1,ターゲットの友　英単語選手権で全国ランキングを競い合おう！,"Obunsha Co.,Ltd.",本気で英会話！ペラペラ英語　英単語・リスニング・TOEICの学習にも！,appArray Inc.,続く英語学習 えいぽんたん！,"Drecom Co., Ltd."
29,中学生・高校生で習う勉強を動画で学べて、無料でライブ授業を学習できる「スマホ学習塾アオイゼミ」,Aoi.co,ライブ英会話,Waterbear Soft inc.,ゲームで学べる手話辞典,SOFTBANK MOBILE Corp.
30,受験サプリ,"Recruit Holdings Co.,Ltd.",SPI言語 【Study Pro】,Study Pro,Toca Hair Salon 2,Toca Boca AB
31,英語力UP 英単8000語,mychjp.com,1日3分 TOEIC(R) TEST PART5!（アルク）,"ALC PRESS, INC.",GhostCallDX,MediaActive Inc.
32,Stylish School Timetable - This app is for students to enjoy decorating school timetable,Fineseed,7-STEP英会話自動暗記: Let's study speaking and listening skills with phrase & idiom,Woori Kim,お弁当をつくろう！ママごっこ－お仕事体験知育アプリ,KidsStar Inc.
33,Jottable Flash Cards Free,Satoshi Horiguchi,もじおくん,Benesse Corporation,キクタンTOEIC(R) Test Score 800 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
34,無料1500問！世界史1問1答,HANAUTA INC.,TOEIC重要英単語(発音版),HuMinghua,Star Chart,Feel Great Publishing Limited
35,しまじろうTV,Benesse Corporation,Zigzag Math,MediaGuild Corporation,Bilingual News: Transcripts,Michael Yamaura
36,Children's Books Library in the Forest,I-FREEK INC.,危険物取扱者乙種第四類,Maiji Saito,キクタンTOEIC(R) Test Score 600 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
37,Sago Mini Ocean Swimmer,Sago Sago,英熟語ターゲット1000（4訂版）,物書堂,Mr.shape's TouchCard,KOO-KI
38,Chick Land,"PICxPIC, Inc.",すぐに話せる英会話233～基本編～【添削機能つき】,PLAYSQUARE INC.,LEC東京リーガルマインド　本棚アプリ,TOKYO LEGAL MIND K.K.
39,"AVDic Player ( ALL-IN-1 Language Learning.. with.. subtitles/txt/pdf reader, mp3/movies/music player, ted talks, vocabulary, free ted live music download, english dictionary & translator for spanish,french,chinese, etc. Learn english ! )",mCoCoon,パブロフ簿記３級,yudai yoseda,キクタンTOEIC(R) Test Score 990 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
40,タッチ！あそベビー　〜0歳から遊べるタッチ遊びアプリ〜,WAO CORPORATION,「２級建築士」受験対策,TK office,どんどん話すための瞬間英作文トレーニング,Beret Publishing Co. INC
41,Mr.shape's TouchCard,KOO-KI,Sago Mini Space Explorer,Sago Sago,ninja math for 1st graders,Fantamstick
42,OKpanda英会話,OKpanda Inc.,ポケット瞬間英作文[中学レベル],"BriarPatch.Co,.Ltd.",AnkiMobile Flashcards,Damien Elmes
43,Eテレ「タップあそび」 幼児・子供向けの知育教育音楽ゲームアプリ,"SMART EDUCATION, LTD.",英語日記ドリル 【添削機能つき】（アルク）,PLAYSQUARE INC.,Set up the airplane parts! - Work Experience-Based Brain Training App,KidsStar Inc.
44,"English Radio - IELTS TOEFL TOEIC IBT Speaking & Listening, Make friends to Teach & Learn Foreign Languages",Liang Yuan,でる順パス単 英検準1級 【旺文社】,PLAYSQUARE INC.,Rhythm Tap,"SMART EDUCATION, LTD."
45,Japanese Kanji Hiragana,SG GAME,Dr. Panda's Restaurant 2,TribePlay,GhostCall,MediaActive Inc.
46,適職・適学チェック,Benesse Corporation,TOEIC® TEST 英文法・語法徹底トレーニング,JDMDigital,学アプリ-一級土木施工管理技士試験問題-,"Fasteps Co., Ltd."
47,しまじろうと　やってみよう！,Benesse Corporation,Dr. Panda's Toy Cars,TribePlay,Let's pretend!! a Cookie House! - Work Experience-Based Brain Training App,KidsStar Inc.
48,「おやこでリズムえほんDX」　赤ちゃん・幼児・子ども向けの音楽アプリ 　教育・知育,"SMART EDUCATION, LTD.",運転免許問題集,SHEN YUE,登録販売者　アプリで合格,jp.apis-sc
49,おやこでいっしょに！　まねっこえいご,Benesse Corporation,えいご上手海外旅行編,"CAI MEDIA CO.,LTD.",TOEIC重要英単語(発音版),HuMinghua
50,"Read Unlimitedly! Book, Music & Game - Kids'n Books (Educational Stories for kids)","SMART EDUCATION, LTD.",宅建四択問題《受験用》,Tsuyoshi Hayakawa,「２級建築士」受験対策,TK office
51,英単語で世界周遊 グルタン - 海外旅行気分で英語・英単語学習！中学高校レベルから上級者レベルまで幅広く対応,"Drecom Co., Ltd.",1分間英会話　完全版360,kokoro cinderella,TOEIC(R)TEST All Part Training,"Topic Maker.,Ltd"
52,ninja math for 1st graders,Fantamstick,英語組み立てTOWN 日常編,Cocone,SPI非言語 【Study Pro】,Study Pro
53,無料3才からの知育パズル｜能力向上に役立つパズル＆テイルズ,KidsStar Inc.,究極の英単語 [初級の3000語] SVL Vol.1 [アルク],PLAYSQUARE INC.,英熟語ターゲット1000（4訂版）,物書堂
54,英語・英会話一日一言,image corp.,1からはじめるビジネス英語,"CAI MEDIA CO.,LTD.",Yahoo!英語　,Yahoo Japan Corp.
55,Speed Mental Calc,jp.20y,英語リスニングRPG トイクルヒーロー,FlowOne Inc.,OKpanda英会話,OKpanda Inc.
56,"Learn ABC - VOA,PBS update everyday",learnabc.com.au,教員採用試験過去問 〜 教職一般教養 関東（東京都以外）2015年度版,"DAITO KENSETSU FUDOSAN CO.,LTD.","Learn French, Spanish, Portuguese and other languages for free with busuu",Busuu Limited
57,ListenUp - The English Challenge,Reallyenglish,日常会話表現 - [アルク] 起きてから寝るまで英語表現,"podotree, inc.",パブロフ簿記３級,yudai yoseda
58,Gocco Fire Truck - 3D Games for Tiny Firefighters,"SMART EDUCATION, LTD.",各種検定・資格試験問題集(自動車整備士 調理師等),Agfy,究極英単語,Yibei Inc
59,Bear Paint,jokijoki.com,バナナじゃなくてbananaチャンツ,学参ドットコム(株式会社ブックモールジャパン),もじおくん,Benesse Corporation
60,Touch and Move! Service Vehicles (for young children) - Educational Apps Free,Atech inc.,でる順パス単 英検1級 【旺文社】,PLAYSQUARE INC.,動画英文法2700,United Intelligence
61,Angles? - Let's solve figures problems!,Gakko Net Inc.,Toca Town,Toca Boca AB,SPI言語 【Study Pro】,Study Pro
62,読めないと恥ずかしい大人の常識漢字1000,Gakko Net Inc.,もう一度！中学英文法 (旺文社)【添削機能つき】,PLAYSQUARE INC.,はたらくくるまゴーゴー　働く車でお仕事ドライブ！幼児・子供向け知育アプリ,WAO CORPORATION
63,無料で学べる~韓国語~ハングル바보(k-pop、東方神起、少女時代、ビックバン、カラなど好きな韓流の歌を聴こう！ツイッタ、フェイスブック、ライン、カカオトークに投稿し友達も作ろう),jungwooram,"AVDic Player Pro ( ALL-IN-1 Language Learning.. with.. subtitles/txt/pdf reader, mp3/movies/music player, ted talks, vocabulary, free ted live music download, english dictionary & translator for spanish,french,chinese, etc. Learn english ! )",mCoCoon,究極の英単語 [初級の3000語] SVL Vol.1 [アルク],PLAYSQUARE INC.
64,zuknow,"BizReach, Inc.",ユメタン１ PowerWords ～センター試験レベル～（アルク）,"ALC PRESS, INC.",電工二種,AppSoft
65,小学生かんじ　全学年無料版：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",スティーブの英会話8秒エクササイズ 【録音機能つき】（アルク）,"ALC PRESS, INC.",「１級建築士」受験対策,TK office
66,1万2千語　英単語・えいたん,Tosymsoft,「１級建築士」受験対策,TK office,手話ステーション,MDI Inc.
67,TOEICの最頻出語 2000語,mychjp.com,Fundamental Information Technology Engineer Examination Essential keywords,Tokyo Interactive,もう一度！中学英文法 (旺文社)【添削機能つき】,PLAYSQUARE INC.
68,英単語パズル キクタンFree(アルク),"ALC PRESS, INC.",英語聴覚セラピー　奇跡の音,UB apps,タッチ！ことばランド　2歳から遊べる言葉を育む子供向けアプリ,WAO CORPORATION
69,スマホ留学 ～１日５分でTOEIC900点奪取！フレーズと英単語強化で英会話とリスニングアップ,Yuki Yokoyama,8000ヘルツ英語聴覚セラピー 奇跡の音 Ver.2,keiko amazutsumi,ユメタン１ PowerWords ～センター試験レベル～（アルク）,"ALC PRESS, INC."
70,英検過去問チェック,Eiken Foundation of Japan,English Grammar in Use Activities,Cambridge University Press,TEDICT - Learn English with TED,CoCO SWING
71,本気！私の英単語 大学受験編 - 受験英語対策に最適な無料単語帳,ysakaki,Information Technology Passport Examination Essential keywords,Tokyo Interactive,英語組み立てTOWN,Cocone
72,SchoolManager+,Shingo Hiraya,Civil service exams of Japan - Social science,"Sanshusha Publishing Co., Ltd.",Let's do pretend Ice-cream shop! - Work Experience-Based Brain Training App,KidsStar Inc.
73,無料300問！原付免許問題集,HANAUTA INC.,「すらすら！ずけいあそび」おもしろいあそびで、図形の感覚を育てます,NCSOFT,ポケット瞬間英作文[中学レベル],"BriarPatch.Co,.Ltd."
74,数学公式集,Murasaki Development,Từ điển (Vietnam Pocket Dictionary),Tien Thinh Vu,速読速聴・英単語Daily Part1,学参ドットコム(株式会社ブックモールジャパン)
75,古文いとをかし - 受験勉強に最適です。,Toshihiko Arai,手話ステーション,MDI Inc.,バナナじゃなくてbananaチャンツ,学参ドットコム(株式会社ブックモールジャパン)
76,Animal Orchestra,"PICxPIC, Inc.",Toca Tailor,Toca Boca AB,絵で見てパッと言う英会話トレーニング【海外旅行編】,"GAKKEN CO.,LTD"
77,"HelloTalk Language Exchange App - Learn English, Chinese Mandarin, Japanese, Korean, Spanish Free. Talk Translator with grammar & vocab phrase book",LAP WA NGAI,システム英単語Check［改訂新版］,学参ドットコム(株式会社ブックモールジャパン),今年こそ行政書士！試験にデル判例,Kurashiki Printing
78,Japanese Lyrics Karaoke,YUTARO KOBAYASHI,簿記トレ！日商簿記３級,Skill Up APPs,でる順パス単 英検準1級 【旺文社】,PLAYSQUARE INC.
79,Rhythm Tap,"SMART EDUCATION, LTD.",かなもじ for iPhone ( ひらがな & カタカナ ),HARASHOW Interactive,GeniusMovieWords,United Intelligence
80,Rhythmehon,"SMART EDUCATION, LTD.","Filipino/Japanese dictionary 10,000+",KuyaMiya,英語聞き取り王国,Cocone
81,新・英単語センター1800,株式会社ナガセ,Jottable Flash Cards,Satoshi Horiguchi,すぐに話せる英会話233～基本編～【添削機能つき】,PLAYSQUARE INC.
82,将棋の戦法,Tatsuyoshi Noma,Registered Real-estate Broker Examination Essential keywords,Tokyo Interactive,英語・英会話一日一言,image corp.
83,Car Toys : Free App for Children and Toddlers,monois Inc.,韓国語組み立てTOWN,Cocone,こどもゆびドリル：ひらがな、カタカナ、かず、アルファベットがこれ１つで学べます！ for iPhone,"NEXTBOOK, Inc."
84,子供向けゲーム「おやこでリズムタッププラス」！赤ちゃん・幼児の音楽げーむ 　教育・知育アプリ,"SMART EDUCATION, LTD.",速読速聴・英単語Daily Part1,学参ドットコム(株式会社ブックモールジャパン),危険物取扱者乙種第四類,Maiji Saito
85,Weblio Viewer,Homuerio,Auto Speaking 英会話,BCM Educational Group,Rhythmehon,"SMART EDUCATION, LTD."
86,Talk!Talk! Korean Word Book-Basic,Soyoun Park,英会話の公式~ネイティブ式･使える英語/TOEICよりも実践力!,Smatoos,第二種電気工事士　筆記試験対策　一問一答問題集,Hiroko Aizawa
87,虫食い漢字クイズ300 - はんぷく学習シリーズ,Gakko Net Inc.,パブロフ簿記２級,yudai yoseda,電二配線,AppSoft
88,小学生手書き漢字ドリル1006 - はんぷく学習シリーズ,Gakko Net Inc.,Two Words English,Plug-in Arts,Java Silver SE7 問題集,"Fasteps Co., Ltd."
89,AnkiSnap,"Pentel Co.,Ltd.",パブロフ危険物乙４類,Atsuko Yoseda,ライブ英会話,Waterbear Soft inc.
90,Doodle Rainbow,"PICxPIC, Inc.","Geo Challenge – Flags, Maps and Geography Learning Game for Kids",XING INC.,宅建四択問題《受験用》,Tsuyoshi Hayakawa
91,教科書トレーニング数学,株式会社ジャパン・アド・クリエイターズ,「すらすら！かずあそび」お子さまが数字とふれあう初めの一歩、１から１０までの数字と遊びます,NCSOFT,おやこで　たのしむ　どうよう・どうわ,Samsung Publishing Ltd.
92,古文単語・古文常識・文学史 【Lite】 - センター試験・受験対応 -,JAT LLP,ListeningDrill : Foreign Languages Listening Practice Player - TED/Audiobooks/Audio/Video/Movie/MP3/Subtitles/AB Repeat/Vocabulary(Word)/Dictionary,Neointro,暗記の達人 公務員試験,"Fillmore Planning Co.,Ltd"
93,教科書トレーニング理科,株式会社ジャパン・アド・クリエイターズ,動画英文法2700,United Intelligence,Fundamental Information Technology Engineer Examination Essential keywords,Tokyo Interactive
94,ExamTimer@209crc,209crc,Z会の世界史,学参ドットコム(株式会社ブックモールジャパン),TOEIC®テストリスニング360問,"LATIKA, Inc."
95,英検予想問題ドリル,iEdu Apps,The Very Hungry Caterpillar™ & Friends – Play & Explore,StoryToys Entertainment Limited,TOEIC®テスト文法640問1,"LATIKA, Inc."
96,Chess - Learn Chess,Tom Kerrigan,必修！教習問題ポケドラ,"Visualworks Co., Ltd.",ひらがなトレイン｜トミカプラレールDEのりもの知育,SHOGAKUKAN INC.
97,タッチ！ことばランド　2歳から遊べる言葉を育む子供向けアプリ,WAO CORPORATION,英語がなが~くなるたった一つのテクニック,Waterbear Soft inc.,1日3分 TOEIC(R) TEST PART5!（アルク）,"ALC PRESS, INC."
98,スピードラーニング,Espritline,英語はパターンで話せ！,Waterbear Soft inc.,Information Technology Passport Examination Essential keywords,Tokyo Interactive
99,覚える! 化学式 - 受験勉強に最適です。,Toshihiko Arai,どんどん話すための瞬間英作文トレーニング,Beret Publishing Co. INC,Health Supervisor Examination Essential keywords,Tokyo Interactive
100,電工二種Free,AppSoft,Sokudoku,Zuvola Apps,英語日記ドリル 【添削機能つき】（アルク）,PLAYSQUARE INC.

"http://www.appannie.com/apps/ios/top/japan/kids/?device=iphone"
#,free_title,free_publisher,paid_title,paid_publisher,sales_title,sales_publisher
1,ほしの島のにゃんこ,"COLOPL, Inc.","Little Builders - Trucks, Cranes & Diggers for Kids",Fox & Sheep,ほしの島のにゃんこ,"COLOPL, Inc."
2,Moving books jajajajan（Japanese language version）,"FORii, lnc.",Let's do pretend!! Hamburger shop! - Work Experience-Based Brain Training App,KidsStar Inc.,"Little Builders - Trucks, Cranes & Diggers for Kids",Fox & Sheep
3,無料知育ゲームアプリ｜なりきり!!ごっこランド,KidsStar Inc.,お弁当をつくろう！ママごっこ－お仕事体験知育アプリ,KidsStar Inc.,「おかあさんといっしょ・みいつけた」の赤ちゃん・子供向け知育アプリ　リズムあそび,"SMART EDUCATION, LTD."
4,TOKITAMA,Taichi Shimizu,Set up the airplane parts! - Work Experience-Based Brain Training App,KidsStar Inc.,Children's Books Library in the Forest,I-FREEK INC.
5,はたらくくるまゴーゴー　働く車でお仕事ドライブ！幼児・子供向け知育アプリ,WAO CORPORATION,Let's pretend!! a Cookie House! - Work Experience-Based Brain Training App,KidsStar Inc.,Moving books jajajajan（Japanese language version）,"FORii, lnc."
6,さがして！なぞって！アンパンマン　,Forecast Communications Inc.,Toca Hair Salon 2,Toca Boca AB,"Read Unlimitedly! Book, Music & Game - Kids'n Books (Educational Stories for kids)","SMART EDUCATION, LTD."
7,「おかあさんといっしょ・みいつけた」の赤ちゃん・子供向け知育アプリ　リズムあそび,"SMART EDUCATION, LTD.",Frozen: Storybook Deluxe,Disney,タッチ！あそベビー　〜0歳から遊べるタッチ遊びアプリ〜,WAO CORPORATION
8,Pancake Tower,Takahiro Ota,Let's do pretend Ice-cream shop! - Work Experience-Based Brain Training App,KidsStar Inc.,さがして！なぞって！アンパンマン　,Forecast Communications Inc.
9,子供向け無料動画GyaO!KIDS - アニメ、特撮ヒーロー、絵本、乗り物、動物、うたなどの動画とゲームが無料で楽しめるアプリです。,Yahoo Japan Corp.,Kid's Animal Doctor - Animal Hospital Games for girls & boys,"ZAPPALLAS, INC.",「おやこでリズムえほんDX」　赤ちゃん・幼児・子ども向けの音楽アプリ 　教育・知育,"SMART EDUCATION, LTD."
10,Children's Books Library in the Forest,I-FREEK INC.,ぷよぷよフィーバーTOUCH,SEGA CORPORATION,"Read with Biff, Chip & Kipper: Library",Gazoob
11,Sago Mini Ocean Swimmer,Sago Sago,Zigzag Math,MediaGuild Corporation,Let's do pretend!! Hamburger shop! - Work Experience-Based Brain Training App,KidsStar Inc.
12,タッチ！あそベビー　〜0歳から遊べるタッチ遊びアプリ〜,WAO CORPORATION,Sago Mini Space Explorer,Sago Sago,子供向けゲーム「おやこでリズムタッププラス」！赤ちゃん・幼児の音楽げーむ 　教育・知育アプリ,"SMART EDUCATION, LTD."
13,Mr.shape's TouchCard,KOO-KI,Dr. Panda's Restaurant 2,TribePlay,Toca Hair Salon 2,Toca Boca AB
14,Eテレ「タップあそび」 幼児・子供向けの知育教育音楽ゲームアプリ,"SMART EDUCATION, LTD.",Dr. Panda's Toy Cars,TribePlay,お弁当をつくろう！ママごっこ－お仕事体験知育アプリ,KidsStar Inc.
15,「おやこでリズムえほんDX」　赤ちゃん・幼児・子ども向けの音楽アプリ 　教育・知育,"SMART EDUCATION, LTD.",CHILD APP 10th : Play - Arcade,CHILD APP project,Frozen: Storybook Deluxe,Disney
16,"Read Unlimitedly! Book, Music & Game - Kids'n Books (Educational Stories for kids)","SMART EDUCATION, LTD.",CHILD APP 7th : Play - Play shopping,CHILD APP project,Mr.shape's TouchCard,KOO-KI
17,ninja math for 1st graders,Fantamstick,CHILD APP 5th : Drive - Excavator,CHILD APP project,ぷよぷよフィーバーTOUCH,SEGA CORPORATION
18,無料3才からの知育パズル｜能力向上に役立つパズル＆テイルズ,KidsStar Inc.,Toca Town,Toca Boca AB,ninja math for 1st graders,Fantamstick
19,Gocco Fire Truck - 3D Games for Tiny Firefighters,"SMART EDUCATION, LTD.",「すらすら！ずけいあそび」おもしろいあそびで、図形の感覚を育てます,NCSOFT,Set up the airplane parts! - Work Experience-Based Brain Training App,KidsStar Inc.
20,Touch and Move! Service Vehicles (for young children) - Educational Apps Free,Atech inc.,もしもし仮面ライダー鎧武/ガイム,TV Asahi Corporation,Rhythm Tap,"SMART EDUCATION, LTD."
21,小学生かんじ　全学年無料版：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",Toca Hair Salon Me,Toca Boca AB,Let's pretend!! a Cookie House! - Work Experience-Based Brain Training App,KidsStar Inc.
22,Great Ant Adventure: Free App for Children and Toddlers,monois Inc.,Toca Tailor,Toca Boca AB,Kid's Animal Doctor - Animal Hospital Games for girls & boys,"ZAPPALLAS, INC."
23,Rhythm Tap,"SMART EDUCATION, LTD.",CHILD APP 6th : Vehicle - JR Kyusyu,CHILD APP project,はたらくくるまゴーゴー　働く車でお仕事ドライブ！幼児・子供向け知育アプリ,WAO CORPORATION
24,Rhythmehon,"SMART EDUCATION, LTD.",かなもじ for iPhone ( ひらがな & カタカナ ),HARASHOW Interactive,タッチ！ことばランド　2歳から遊べる言葉を育む子供向けアプリ,WAO CORPORATION
25,子供向けゲーム「おやこでリズムタッププラス」！赤ちゃん・幼児の音楽げーむ 　教育・知育アプリ,"SMART EDUCATION, LTD.",Toca Lab,Toca Boca AB,Let's do pretend Ice-cream shop! - Work Experience-Based Brain Training App,KidsStar Inc.
26,"Kids Car, Trucks & Construction Vehicles - Puzzles for Toddlers",Pixel Envision,"Geo Challenge – Flags, Maps and Geography Learning Game for Kids",XING INC.,こどもゆびドリル：ひらがな、カタカナ、かず、アルファベットがこれ１つで学べます！ for iPhone,"NEXTBOOK, Inc."
27,タッチ！ことばランド　2歳から遊べる言葉を育む子供向けアプリ,WAO CORPORATION,「すらすら！かずあそび」お子さまが数字とふれあう初めの一歩、１から１０までの数字と遊びます,NCSOFT,Rhythmehon,"SMART EDUCATION, LTD."
28,Rhythmehon plus,"SMART EDUCATION, LTD.",The Very Hungry Caterpillar™ & Friends – Play & Explore,StoryToys Entertainment Limited,jajajajan,"FORii, lnc."
29,Kid's Doctor,"ZAPPALLAS, INC.",CHILD APP 1th : Vehicle - Train,CHILD APP project,Sago Mini Space Explorer,Sago Sago
30,tsukune run,"Pasona Tech,Inc.",My Little Note,tokentoken,Zigzag Math,MediaGuild Corporation
31,Toca Hair Salon - Christmas Gift,Toca Boca AB,Cars 2 World Grand Prix Read and Race,Disney,Chuggington Traintastic Adventures Free – A Train Set Game for Kids,Budge Studios
32,こどもゆびドリル：ひらがな、カタカナ、かず、アルファベットがこれ１つで学べます！ for iPhone,"NEXTBOOK, Inc.",Toca Builders,Toca Boca AB,かなもじ for iPhone ( ひらがな & カタカナ ),HARASHOW Interactive
33,時計が読める! こども時計 - 知育アプリで遊ぼう 子ども・幼児向け無料アプリ,monois Inc.,Jungle Time - learn how to tell time,Andrew Short,TOKITAMA,Taichi Shimizu
34,Disney Puzzle Packs,Disney,パパ、読んで！おやすみ前のおとえほん vol.1 ～読み聞かせ世界昔話～,"Excite Japan Co.,Ltd.",Eテレ「タップあそび」 幼児・子供向けの知育教育音楽ゲームアプリ,"SMART EDUCATION, LTD."
35,Colorful Blocks - Funny educational App for Baby & Infant,monois Inc.,Toca Store,Toca Boca AB,Dr. Panda's Toy Cars,TribePlay
36,My Little Gourmet-BabyBus,BABYBUS,Machine World,Trino AB,Toca Town,Toca Boca AB
37,jajajajan,"FORii, lnc.",Sago Mini Pet Cafe,Sago Sago,The Very Hungry Caterpillar™ & Friends – Play & Explore,StoryToys Entertainment Limited
38,"Space 1999 - Matching, Stickers and Colors Games for Kids",MagisterApp,Busy Shapes,Seven Academy,Gocco Fire Truck - 3D Games for Tiny Firefighters,"SMART EDUCATION, LTD."
