"http://www.appannie.com/apps/ios/top/japan/education/?device=iphone"
FREE
#,title,publisher
96,タッチ！ことばランド　2歳から遊べる言葉を育む子供向けアプリ,WAO CORPORATION
97,スピードラーニング,Espritline
98,覚える! 化学式 - 受験勉強に最適です。,Toshihiko Arai
99,電工二種Free,AppSoft

PAID
#,title,publisher
0,本気で英会話！ペラペラ英語　英単語・リスニング・TOEICの学習にも！,appArray Inc.
1,キクタン 【Advanced】 6000 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
2,キクタン  【Basic】  4000 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
3,Real英会話,"LT Box Co., Ltd."
4,キクタン 【Super】 12000 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
5,Let's do pretend!! Hamburger shop! - Work Experience-Based Brain Training App,KidsStar Inc.
6,Star Walk™ - 5 Stars Astronomy Guide,Vito Technology Inc.
7,電工二種,AppSoft
8,お弁当をつくろう！ママごっこ－お仕事体験知育アプリ,KidsStar Inc.
9,すぐに話せる英会話233～リスニング編～【添削機能つき】,PLAYSQUARE INC.
10,英語組み立てTOWN,Cocone
11,キクタンTOEIC(R) Test Score 600 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
12,Set up the airplane parts! - Work Experience-Based Brain Training App,KidsStar Inc.
13,Let's pretend!! a Cookie House! - Work Experience-Based Brain Training App,KidsStar Inc.
14,Toca Hair Salon 2,Toca Boca AB
15,電二配線,AppSoft
16,TOEIC®テストリスニング360問,"LATIKA, Inc."
17,TOEIC®テスト文法640問1,"LATIKA, Inc."
18,英単語ターゲット1900（5訂版）,物書堂
19,キクタンTOEIC(R) Test Score 800 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
20,TEDICT - Learn English with TED,CoCO SWING
21,Let's do pretend Ice-cream shop! - Work Experience-Based Brain Training App,KidsStar Inc.
22,SPI非言語 【Study Pro】,Study Pro
23,キクタンTOEIC(R) Test Score 990 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
24,英語聞き取り王国,Cocone
25,えいご聞き耳上手,"CAI MEDIA CO.,LTD."
26,第二種電気工事士　筆記試験対策　一問一答問題集,Hiroko Aizawa
27,TOEIC®テスト文法640問2,"LATIKA, Inc."
28,ライブ英会話,Waterbear Soft inc.
29,SPI言語 【Study Pro】,Study Pro
30,1日3分 TOEIC(R) TEST PART5!（アルク）,"ALC PRESS, INC."
31,7-STEP英会話自動暗記: Let's study speaking and listening skills with phrase & idiom,Woori Kim
32,もじおくん,Benesse Corporation
33,TOEIC重要英単語(発音版),HuMinghua
34,Zigzag Math,MediaGuild Corporation
35,危険物取扱者乙種第四類,Maiji Saito
36,英熟語ターゲット1000（4訂版）,物書堂
37,すぐに話せる英会話233～基本編～【添削機能つき】,PLAYSQUARE INC.
38,パブロフ簿記３級,yudai yoseda
39,「２級建築士」受験対策,TK office
40,Sago Mini Space Explorer,Sago Sago
41,ポケット瞬間英作文[中学レベル],"BriarPatch.Co,.Ltd."
42,英語日記ドリル 【添削機能つき】（アルク）,PLAYSQUARE INC.
43,でる順パス単 英検準1級 【旺文社】,PLAYSQUARE INC.
44,Dr. Panda's Restaurant 2,TribePlay
45,TOEIC® TEST 英文法・語法徹底トレーニング,JDMDigital
46,Dr. Panda's Toy Cars,TribePlay
47,運転免許問題集,SHEN YUE
48,えいご上手海外旅行編,"CAI MEDIA CO.,LTD."
49,宅建四択問題《受験用》,Tsuyoshi Hayakawa
50,1分間英会話　完全版360,kokoro cinderella
51,英語組み立てTOWN 日常編,Cocone
52,究極の英単語 [初級の3000語] SVL Vol.1 [アルク],PLAYSQUARE INC.
53,1からはじめるビジネス英語,"CAI MEDIA CO.,LTD."
54,英語リスニングRPG トイクルヒーロー,FlowOne Inc.
55,教員採用試験過去問 〜 教職一般教養 関東（東京都以外）2015年度版,"DAITO KENSETSU FUDOSAN CO.,LTD."
56,日常会話表現 - [アルク] 起きてから寝るまで英語表現,"podotree, inc."
57,各種検定・資格試験問題集(自動車整備士 調理師等),Agfy
58,バナナじゃなくてbananaチャンツ,学参ドットコム(株式会社ブックモールジャパン)
59,でる順パス単 英検1級 【旺文社】,PLAYSQUARE INC.
60,Toca Town,Toca Boca AB
61,もう一度！中学英文法 (旺文社)【添削機能つき】,PLAYSQUARE INC.
62,"AVDic Player Pro ( ALL-IN-1 Language Learning.. with.. subtitles/txt/pdf reader, mp3/movies/music player, ted talks, vocabulary, free ted live music download, english dictionary & translator for spanish,french,chinese, etc. Learn english ! )",mCoCoon
63,ユメタン１ PowerWords ～センター試験レベル～（アルク）,"ALC PRESS, INC."
64,スティーブの英会話8秒エクササイズ 【録音機能つき】（アルク）,"ALC PRESS, INC."
65,「１級建築士」受験対策,TK office
66,Fundamental Information Technology Engineer Examination Essential keywords,Tokyo Interactive
67,英語聴覚セラピー　奇跡の音,UB apps
68,8000ヘルツ英語聴覚セラピー 奇跡の音 Ver.2,keiko amazutsumi
69,English Grammar in Use Activities,Cambridge University Press
70,Information Technology Passport Examination Essential keywords,Tokyo Interactive
71,Civil service exams of Japan - Social science,"Sanshusha Publishing Co., Ltd."
72,「すらすら！ずけいあそび」おもしろいあそびで、図形の感覚を育てます,NCSOFT
73,Từ điển (Vietnam Pocket Dictionary),Tien Thinh Vu
74,手話ステーション,MDI Inc.
75,Toca Tailor,Toca Boca AB
76,システム英単語Check［改訂新版］,学参ドットコム(株式会社ブックモールジャパン)
77,簿記トレ！日商簿記３級,Skill Up APPs
78,かなもじ for iPhone ( ひらがな & カタカナ ),HARASHOW Interactive
79,"Filipino/Japanese dictionary 10,000+",KuyaMiya
80,Jottable Flash Cards,Satoshi Horiguchi
81,Registered Real-estate Broker Examination Essential keywords,Tokyo Interactive
82,韓国語組み立てTOWN,Cocone
83,速読速聴・英単語Daily Part1,学参ドットコム(株式会社ブックモールジャパン)
84,Auto Speaking 英会話,BCM Educational Group
85,英会話の公式~ネイティブ式･使える英語/TOEICよりも実践力!,Smatoos
86,パブロフ簿記２級,yudai yoseda
87,Two Words English,Plug-in Arts
88,パブロフ危険物乙４類,Atsuko Yoseda
89,"Geo Challenge – Flags, Maps and Geography Learning Game for Kids",XING INC.
90,「すらすら！かずあそび」お子さまが数字とふれあう初めの一歩、１から１０までの数字と遊びます,NCSOFT
91,ListeningDrill : Foreign Languages Listening Practice Player - TED/Audiobooks/Audio/Video/Movie/MP3/Subtitles/AB Repeat/Vocabulary(Word)/Dictionary,Neointro
92,動画英文法2700,United Intelligence
93,Z会の世界史,学参ドットコム(株式会社ブックモールジャパン)
94,The Very Hungry Caterpillar™ & Friends – Play & Explore,StoryToys Entertainment Limited
95,必修！教習問題ポケドラ,"Visualworks Co., Ltd."
96,英語がなが~くなるたった一つのテクニック,Waterbear Soft inc.
97,英語はパターンで話せ！,Waterbear Soft inc.
98,どんどん話すための瞬間英作文トレーニング,Beret Publishing Co. INC
99,Sokudoku,Zuvola Apps

SALES
#,title,publisher
0,続く英語学習 えいぽんたん！,"Drecom Co., Ltd."
1,語学プレーヤー〈NHK出版〉,NHK Publishing
2,キクタン 【Advanced】 6000 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
3,「おかあさんといっしょ・みいつけた」の赤ちゃん・子供向け知育アプリ　リズムあそび,"SMART EDUCATION, LTD."
4,キクタン  【Basic】  4000 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
5,Children's Books Library in the Forest,I-FREEK INC.
6,Real英会話,"LT Box Co., Ltd."
7,iKnow!,Cerego
8,Choujimaku,SOURCENEXT CORPORATION
9,Moving books jajajajan（Japanese language version）,"FORii, lnc."
10,キクタン 【Super】 12000 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
11,本気で英会話！ペラペラ英語　英単語・リスニング・TOEICの学習にも！,appArray Inc.
12,"Read Unlimitedly! Book, Music & Game - Kids'n Books (Educational Stories for kids)","SMART EDUCATION, LTD."
13,ケアマネジャー試験一問一答＋模擬問題2014,"Fasteps Co., Ltd."
14,ラーニングドラゴン 英単語3300 - 大学受験・センター試験・TOEICテストの勉強に最適な、単語帳や単語カードとしても使える、ゲーム感覚の英語学習アプリ！DL無料,Studyplus Inc.
15,英単語ターゲット1900（5訂版）,物書堂
16,すぐに話せる英会話233～リスニング編～【添削機能つき】,PLAYSQUARE INC.
17,タッチ！あそベビー　〜0歳から遊べるタッチ遊びアプリ〜,WAO CORPORATION
18,Star Walk™ - 5 Stars Astronomy Guide,Vito Technology Inc.
19,さがして！なぞって！アンパンマン　,Forecast Communications Inc.
20,TAC出版 中小企業診断士 2014年度版 スピード問題集,"Fasteps Co., Ltd."
21,「おやこでリズムえほんDX」　赤ちゃん・幼児・子ども向けの音楽アプリ 　教育・知育,"SMART EDUCATION, LTD."
22,"Read with Biff, Chip & Kipper: Library",Gazoob
23,Let's do pretend!! Hamburger shop! - Work Experience-Based Brain Training App,KidsStar Inc.
24,子供向けゲーム「おやこでリズムタッププラス」！赤ちゃん・幼児の音楽げーむ 　教育・知育アプリ,"SMART EDUCATION, LTD."
25,Voice4u JP 会話支援アプリ (日本語版),Spectrum Visions
26,ＭＲ問題集,"NIHON IYAKU ACADEMY, K.K."
27,CNN ENGLISH EXPRESS,"Asahipress Co., Ltd."
28,ゲームで学べる手話辞典,SOFTBANK MOBILE Corp.
29,Toca Hair Salon 2,Toca Boca AB
30,GhostCallDX,MediaActive Inc.
31,お弁当をつくろう！ママごっこ－お仕事体験知育アプリ,KidsStar Inc.
32,キクタンTOEIC(R) Test Score 800 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
33,Star Chart,Feel Great Publishing Limited
34,Bilingual News: Transcripts,Michael Yamaura
35,キクタンTOEIC(R) Test Score 600 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
36,Mr.shape's TouchCard,KOO-KI
37,LEC東京リーガルマインド　本棚アプリ,TOKYO LEGAL MIND K.K.
38,キクタンTOEIC(R) Test Score 990 ～聞いて覚える英単語～(アルク),"ALC PRESS, INC."
39,どんどん話すための瞬間英作文トレーニング,Beret Publishing Co. INC
40,ninja math for 1st graders,Fantamstick
41,AnkiMobile Flashcards,Damien Elmes
42,Set up the airplane parts! - Work Experience-Based Brain Training App,KidsStar Inc.
43,Rhythm Tap,"SMART EDUCATION, LTD."
44,GhostCall,MediaActive Inc.
45,学アプリ-一級土木施工管理技士試験問題-,"Fasteps Co., Ltd."
46,Let's pretend!! a Cookie House! - Work Experience-Based Brain Training App,KidsStar Inc.
47,登録販売者　アプリで合格,jp.apis-sc
48,TOEIC重要英単語(発音版),HuMinghua
49,「２級建築士」受験対策,TK office
50,TOEIC(R)TEST All Part Training,"Topic Maker.,Ltd"
51,SPI非言語 【Study Pro】,Study Pro
52,英熟語ターゲット1000（4訂版）,物書堂
53,Yahoo!英語　,Yahoo Japan Corp.
54,OKpanda英会話,OKpanda Inc.
55,"Learn French, Spanish, Portuguese and other languages for free with busuu",Busuu Limited
56,パブロフ簿記３級,yudai yoseda
57,究極英単語,Yibei Inc
58,もじおくん,Benesse Corporation
59,動画英文法2700,United Intelligence
60,SPI言語 【Study Pro】,Study Pro
61,はたらくくるまゴーゴー　働く車でお仕事ドライブ！幼児・子供向け知育アプリ,WAO CORPORATION
62,究極の英単語 [初級の3000語] SVL Vol.1 [アルク],PLAYSQUARE INC.
63,電工二種,AppSoft
64,「１級建築士」受験対策,TK office
65,手話ステーション,MDI Inc.
66,もう一度！中学英文法 (旺文社)【添削機能つき】,PLAYSQUARE INC.
67,タッチ！ことばランド　2歳から遊べる言葉を育む子供向けアプリ,WAO CORPORATION
68,ユメタン１ PowerWords ～センター試験レベル～（アルク）,"ALC PRESS, INC."
69,TEDICT - Learn English with TED,CoCO SWING
70,英語組み立てTOWN,Cocone
71,Let's do pretend Ice-cream shop! - Work Experience-Based Brain Training App,KidsStar Inc.
72,ポケット瞬間英作文[中学レベル],"BriarPatch.Co,.Ltd."
73,速読速聴・英単語Daily Part1,学参ドットコム(株式会社ブックモールジャパン)
74,バナナじゃなくてbananaチャンツ,学参ドットコム(株式会社ブックモールジャパン)
75,絵で見てパッと言う英会話トレーニング【海外旅行編】,"GAKKEN CO.,LTD"
76,今年こそ行政書士！試験にデル判例,Kurashiki Printing
77,でる順パス単 英検準1級 【旺文社】,PLAYSQUARE INC.
78,GeniusMovieWords,United Intelligence
79,英語聞き取り王国,Cocone
80,すぐに話せる英会話233～基本編～【添削機能つき】,PLAYSQUARE INC.
81,英語・英会話一日一言,image corp.
82,こどもゆびドリル：ひらがな、カタカナ、かず、アルファベットがこれ１つで学べます！ for iPhone,"NEXTBOOK, Inc."
83,危険物取扱者乙種第四類,Maiji Saito
84,Rhythmehon,"SMART EDUCATION, LTD."
85,第二種電気工事士　筆記試験対策　一問一答問題集,Hiroko Aizawa
86,電二配線,AppSoft
87,Java Silver SE7 問題集,"Fasteps Co., Ltd."
88,ライブ英会話,Waterbear Soft inc.
89,宅建四択問題《受験用》,Tsuyoshi Hayakawa
90,おやこで　たのしむ　どうよう・どうわ,Samsung Publishing Ltd.
91,暗記の達人 公務員試験,"Fillmore Planning Co.,Ltd"
92,Fundamental Information Technology Engineer Examination Essential keywords,Tokyo Interactive
93,TOEIC®テストリスニング360問,"LATIKA, Inc."
94,TOEIC®テスト文法640問1,"LATIKA, Inc."
95,ひらがなトレイン｜トミカプラレールDEのりもの知育,SHOGAKUKAN INC.
96,1日3分 TOEIC(R) TEST PART5!（アルク）,"ALC PRESS, INC."
97,Information Technology Passport Examination Essential keywords,Tokyo Interactive
98,Health Supervisor Examination Essential keywords,Tokyo Interactive
99,英語日記ドリル 【添削機能つき】（アルク）,PLAYSQUARE INC.
